Row Labels,Sum of Installs
0.09765625,403015500
0.100585938,100000
0.10546875,1000
0.11328125,50000
0.115234375,2000010
0.118164063,1000
0.119140625,10000
0.137695313,6000
0.139648438,5000
0.140625,5000
0.149414063,10000
0.150390625,50
0.153320313,100
0.15625,5000
0.157226563,50000
0.16015625,5000
0.165039063,10
0.166015625,5000
0.16796875,105
0.168945313,100000
0.170898438,50000
0.171875,10000000
0.181640625,10000
0.185546875,100000
0.186523438,10
0.1875,101000
0.188476563,10000
0.19140625,105000
0.1953125,5000
0.196289063,1110000
0.198242188,10000
0.201171875,2000
0.203125,5000000
0.204101563,100000
0.205078125,10000
0.213867188,50000
0.21484375,5000
0.215820313,50000
0.216796875,100
0.220703125,10000
0.22265625,10000
0.2265625,5000000
0.228515625,100
0.231445313,10
0.232421875,1
0.233398438,5000
0.234375,5000
0.235351563,50000
0.237304688,10
0.239257813,10000
0.240234375,1000
0.245117188,5000
0.247070313,1000000
0.250976563,10000
0.252929688,1000
0.259765625,511000
0.262695313,10
0.263671875,1000
0.2734375,1000
0.276367188,5000
0.28125,10000
0.28515625,1000000
0.286132813,100
0.298828125,50000
0.30078125,5000
0.301757813,50000
0.305664063,5000
0.306640625,50000
0.309570313,1000
0.310546875,505000
0.311523438,10
0.314453125,10000
0.315429688,105000
0.321289063,10000
0.326171875,11000
0.327148438,15000
0.341796875,100000
0.342773438,1000000
0.344726563,10000
0.35546875,1100000
0.362304688,10000
0.364257813,5000000
0.366210938,30000
0.3671875,500
0.369140625,1000
0.374023438,10000
0.377929688,100000
0.390625,10000
0.39453125,100000
0.401367188,100000
0.40234375,10000
0.404296875,10000
0.407226563,6000
0.41015625,10000
0.411132813,50
0.418945313,10000
0.419921875,5000
0.426757813,5000
0.431640625,10000
0.43359375,50000
0.443359375,10000
0.447265625,100
0.448242188,10000
0.44921875,1000
0.456054688,100000
0.458984375,5000
0.461914063,5010
0.463867188,100
0.466796875,1000
0.473632813,50000
0.484375,1000
0.486328125,1000
0.487304688,5000
0.48828125,100
0.494140625,5000
0.499023438,50
0.501953125,10
0.50390625,100
0.505859375,10
0.510742188,1000
0.512695313,10000000
0.513671875,10000
0.52734375,1000000
0.53125,1000000
0.532226563,5000
0.536132813,1
0.538085938,10000000
0.5390625,50000
0.541015625,5000
0.54296875,10000
0.548828125,50000
0.555664063,100
0.568359375,100000
0.571289063,500000
0.578125,501000
0.583007813,100000
0.583984375,50000
0.5859375,5000
0.586914063,1000
0.59375,1000
0.594726563,100000
0.598632813,1000
0.604492188,1000
0.609375,10000000
0.611328125,10000
0.614257813,50
0.62109375,500
0.626953125,100
0.627929688,100000
0.631835938,50000
0.639648438,10
0.640625,500100
0.642578125,1000
0.647460938,10
0.66015625,10000
0.666992188,50
0.671875,5
0.674804688,1000
0.678710938,10000000
0.6796875,1000000
0.6875,20000
0.688476563,100
0.696289063,1000000
0.697265625,10000
0.69921875,1000000
0.700195313,5000
0.703125,100000
0.704101563,5000
0.7109375,10000
0.712890625,50000
0.725585938,1000
0.728515625,100000
0.731445313,1000
0.736328125,500
0.73828125,50000
0.75390625,5000
0.756835938,100
0.759765625,100000
0.760742188,10000
0.76171875,100
0.763671875,10000
0.765625,10000
0.766601563,100000
0.768554688,10000
0.782226563,5000
0.790039063,100000
0.791992188,10000
0.79296875,10000
0.796875,10000
0.798828125,100000
0.817382813,50000
0.8203125,100
0.822265625,5050
0.827148438,1000000
0.833007813,10000000
0.836914063,500
0.83984375,1000000
0.840820313,100
0.841796875,5000
0.844726563,1000000
0.8515625,1000000
0.853515625,100
0.858398438,5000
0.860351563,1000
0.864257813,1
0.866210938,500
0.87109375,100
0.876953125,1
0.877929688,10000
0.880859375,100
0.881835938,100000
0.8828125,10
0.891601563,50
0.892578125,100000
0.89453125,1000
0.8984375,500000
0.899414063,100
0.90234375,10000
0.908203125,10000
0.916992188,10000
0.91796875,10
0.919921875,1000
0.92578125,100010
0.928710938,1000
0.930664063,100000
0.931640625,500
0.934570313,10100
0.938476563,100
0.940429688,1000
0.942382813,5000
0.947265625,100
0.952148438,5000
0.953125,10000
0.95703125,10000
0.958007813,100
0.958984375,1000000
0.962890625,10000
0.96875,500
0.970703125,1000
0.99609375,50
1,157010
1.1,2390670
1.2,13599480
1.3,23827810
1.4,12779140
1.5,76814305
1.6,28550841
1.7,11411046
1.8,31990551
1.9,25276910
2,32727770
2.1,33542170
2.2,22647020
2.3,29715991
2.4,30053590
2.5,125186045
2.6,29012731
2.7,77988215
2.8,27400657
2.9,22145666
3,27802870
3.1,92256031
3.2,38843940
3.3,377701327
3.4,6370228
3.5,23423826
3.6,16623291
3.7,37995005
3.8,64548010
3.9,114516190
4,62501690
4.1,116684555
4.2,55832815
4.3,66395270
4.4,38463470
4.5,11039380
4.6,30262345
4.7,58399500
4.8,3422960
4.9,79219985
5,33912806
5.1,87555511
5.2,11214080
5.3,38054581
5.4,63825520
5.5,8643700
5.6,33603380
5.7,37935385
5.8,17054411
5.9,32770810
6,23913961
6.1,244199310
6.2,24416720
6.3,31035795
6.4,49006100
6.5,71398470
6.6,74545215
6.7,23358152
6.8,17932755
6.9,39841070
7,44822400
7.1,149938015
7.2,27057800
7.3,41995625
7.4,179238550
7.5,15702320
7.6,133969651
7.7,9507620
7.8,21879020
7.9,128446315
8,1987810
8.1,47381310
8.2,78162721
8.3,34330850
8.4,22222510
8.5,50765320
8.6,65082260
8.7,94975285
8.8,34464460
8.9,41547660
9,21484721
9.1,88857010
9.2,83019820
9.3,1860911
9.4,12065820
9.5,38492200
9.6,14267060
9.7,85821322
9.8,30832050
9.9,134938711
10,223540486
11,2999663301
12,819947490
13,4641252835
14,665184184
15,1101792521
16,912418958
17,1643106856
18,237365736
19,227655292
20,376411392
21,452648061
22,313193805
23,425252061
24,2680533460
25,639376581
26,326790357
27,335103560
28,155102585
29,393205378
30,209886296
31,209602750
32,454705271
33,822603330
34,470366810
35,511756210
36,259331430
37,732458000
38,192132175
39,265518610
40,1838817320
41,257814705
42,461728410
43,179396911
44,131678710
45,279342160
46,550739760
47,443638030
48,279547555
49,511842660
50,572983100
51,544913500
52,1168720150
53,1241447110
54,119190256
55,252530750
56,240110000
57,914611000
58,332666000
59,518852100
60,272285200
61,1534822510
62,3067551910
63,530933510
64,38706201
65,21172100
66,104012010
67,1243226050
68,266513110
69,545311000
70,1158283100
71,137415000
72,94453000
73,139110115
74,3827160600
75,325010001
76,6299110150
77,112100200
78,631221000
79,153530000
80,49510000
81,15611100
82,301321500
83,22120110
84,33300000
85,253330050
86,16171000
87,85605010
88,235060500
89,123551050
90,30105010
91,94410000
92,233101200
93,77151200
94,210551050
95,199261000
96,536810510
97,1062711050
98,428152110
99,835660050
VWD,1.02568E+11
Grand Total,1.67633E+11
